what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1632229813657
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1632229813657
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1632229813657
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1632229813657
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1632229813657
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1632229813657
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1632229813657
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1632229813657
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1632229813657
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1632229813657
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1632229813657
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1632229813657
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1632229813657
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1632229813657
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1632229813672
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1632229813672
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1632229813672
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1632229813672
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1632229813672
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1632229813672
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1632229813672
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1632229813672
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1632229813672
started,bundle,org.eclipse.wst.common.modulecore,1.2.100.v201105191800,"org.eclipse.wst.common.modulecore",1632229813672
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1632229813672
started,bundle,org.eclipse.wst.validation,1.2.300.v201104190230,"org.eclipse.wst.validation",1632229813672
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1632229813672
os,sysinfo,,,"win32",1632229813672
arch,sysinfo,,,"x86_64",1632229813672
ws,sysinfo,,,"win32",1632229813672
locale,sysinfo,,,"zh_CN",1632229813672
processors,sysinfo,,,"4",1632229813672
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1632229813672
java.runtime.version,sysinfo,,,"1.6.0_45-b06",1632229813672
java.specification.name,sysinfo,,,"Java Platform API Specification",1632229813672
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1632229813672
java.specification.version,sysinfo,,,"1.6",1632229813672
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1632229813672
java.version,sysinfo,,,"1.6.0_45",1632229813672
java.vm.info,sysinfo,,,"mixed mode",1632229813672
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1632229813672
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1632229813672
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1632229813672
java.vm.specification.version,sysinfo,,,"1.0",1632229813672
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1632229813672
java.vm.version,sysinfo,,,"20.45-b01",1632229813672
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1632229814735
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1632229815101
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1632229817104
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1632229818413
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1632229823975
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1632229825197
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1632229825306
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1632229826481
